,coin,exchange
668,MCUSD,"['Ubeswap', 'Ubeswap']"
669,COVA,"['Huobi Global', 'Hotbit', 'Huobi Global', 'Huobi Global', 'Hotbit', 'Huobi Global']"
670,KAT,"['Hotbit', 'Hotbit']"
671,CELO,"['Bittrex', 'Sushiswap', 'Bittrex', 'Sushiswap', 'Ubeswap', 'Huobi Global', 'Coinbase Exchange', 'Coinbase Exchange', 'Ubeswap', 'Sushiswap', 'Ubeswap', 'Coinbase Exchange']"
672,ROUTE,"['Uniswap (v2)', 'Uniswap (v2)']"
673,PETS,"['Solarbeam', 'Solarbeam', 'Apeswap']"
674,FTT,"['Uniswap (v2)', 'FTX', 'Uniswap (v2)', 'FTX', 'Bitstamp', 'Poloniex', 'FTX', 'Bitfinex']"
675,MRUN,"['PancakeSwap', 'PancakeSwap']"
676,NZD,"['Currency.com', 'Currency.com', 'Currency.com']"
677,SRM,"['Binance', 'Bitfinex', 'Kraken', 'Binance', 'Bitfinex', 'Kraken', 'Upbit', 'Uniswap (v2)', 'Poloniex']"
678,MPG,"['PancakeSwap', 'PancakeSwap']"
679,GNT,"['CoinEx', 'Upbit', 'CoinEx', 'Upbit', 'Binance', 'Korbit', 'Poloniex']"
680,COFFIN,"['SpookySwap', 'SpookySwap']"
681,RATING,"['Hotbit', 'Hotbit']"
682,HIBIKI,"['PancakeSwap', 'PancakeSwap']"
683,UMY,"['PancakeSwap', 'PancakeSwap']"
684,DUET,"['PancakeSwap', 'PancakeSwap']"
685,INDEX,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)']"
686,LOOM,"['Uniswap (v2)', 'Hotbit', 'Uniswap (v2)', 'Hotbit', 'HitBTC', 'YoBit', 'Binance', 'Bittrex', 'Binance']"
687,LIC,"['PancakeSwap', 'PancakeSwap']"
688,HEROEGG,"['Apeswap', 'Apeswap']"
689,VVT,"['Uniswap (v2)', 'Uniswap (v2)']"
690,IMX,"['Binance', 'Solarbeam', 'Binance', 'Solarbeam', 'FTX', 'Huobi Global', 'ZB', 'Kraken', 'Coinbase Exchange', 'Kraken', 'BigONE', 'Bitforex']"
691,MBTC,"['Sushiswap', 'Sushiswap']"
692,CMK,"['Sushiswap', 'Sushiswap']"
693,FRTS,"['Uniswap (v2)', 'Uniswap (v2)']"
694,CLO,"['Bitforex', 'Bitforex', 'HitBTC']"
695,bzrx,"['Uniswap (v3)', 'Uniswap (v3)', 'Sushiswap']"
696,WICK,"['Uniswap (v2)', 'Uniswap (v2)']"
697,MIR,"['KuCoin', 'PancakeSwap', 'KuCoin', 'PancakeSwap', 'Huobi Global', 'KuCoin', 'Gemini', 'Uniswap (v2)', 'Coinbase Exchange']"
698,DIOS,"['PancakeSwap', 'PancakeSwap']"
699,PANGOLIN,"['PancakeSwap', 'PancakeSwap']"
700,EFI,"['Sushiswap', 'Sushiswap', 'OKEx', 'Huobi Global', 'Uniswap (v3)']"
701,,"['Uniswap (v2)', 'PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'Uniswap (v2)']"
702,MGO,"['Bitforex', 'Bitfinex', 'Bitforex', 'Bitfinex']"
703,PYR,"['Huobi Global', 'Huobi Global', 'Binance']"
704,P2P,"['Uniswap (v2)', 'Uniswap (v2)']"
705,SPH,"['Uniswap (v2)', 'Uniswap (v2)', 'PancakeSwap']"
706,mtvg,"['PancakeSwap', 'PancakeSwap']"
707,OHM,"['Sushiswap', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v3)', 'Sushiswap', 'Sushiswap', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v3)', 'Sushiswap', 'Sushiswap', 'Uniswap (v3)']"
708,LDO,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Balancer (v2)', 'Uniswap (v3)']"
709,GLXM,"['PancakeSwap', 'PancakeSwap']"
710,RAFF,"['PancakeSwap', 'PancakeSwap']"
711,z7,"['PancakeSwap', 'PancakeSwap']"
712,L2,"['Sushiswap', 'Sushiswap', 'Balancer (v1)']"
713,CHEFCAKE,"['PancakeSwap', 'PancakeSwap']"
714,DERC,"['PancakeSwap', 'PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'Sushiswap']"
715,SIN,"['PancakeSwap', 'PancakeSwap']"
716,TFBX,"['Uniswap (v2)', 'Uniswap (v2)']"
717,RGT,"['Bittrex', 'Bittrex', 'Binance']"
718,XYZ,"['Sushiswap', 'Sushiswap']"
719,duw,"['PancakeSwap', 'PancakeSwap']"
720,RETH,"['Balancer (v2)', 'Balancer (v2)', 'Balancer (v2)', 'Balancer (v2)', 'Uniswap (v3)']"
721,CSM,"['PancakeSwap', 'PancakeSwap', 'HitBTC', 'HitBTC']"
722,CHI,"['Uniswap (v2)', 'Uniswap (v2)', 'PancakeSwap', 'Uniswap (v2)']"
723,ALICE,"['CoinEx', 'Uniswap (v2)', 'HitBTC', 'CoinEx', 'Uniswap (v2)', 'HitBTC', 'Binance', 'Kraken', 'Kraken']"
724,CNFT,"['Uniswap (v2)', 'Uniswap (v2)']"
725,AMPL,"['FTX', 'Uniswap (v3)', 'FTX', 'Uniswap (v3)', 'Ethfinex', 'Uniswap (v2)', 'PancakeSwap', 'Uniswap (v2)', 'Uniswap (v2)']"
726,HAVEN,"['PancakeSwap', 'PancakeSwap']"
727,UBT,"['Liquid', 'Bittrex', 'Bancor', 'Uniswap (v2)', 'Liquid', 'Bittrex', 'Bancor', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)']"
728,LMCH,"['Uniswap (v2)', 'Uniswap (v2)', 'OKEx']"
729,BTX,"['HitBTC', 'HitBTC', 'HitBTC']"
730,BXMI,"['Uniswap (v2)', 'Uniswap (v2)']"
731,CMP,"['Uniswap (v2)', 'Uniswap (v2)']"
732,CVP,"['OKEx', 'Huobi Global', 'OKEx', 'Huobi Global', 'PancakeSwap']"
733,HUM,"['FTX', 'FTX']"
734,YOOSHI,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
735,BUMP,"['Uniswap (v3)', 'Uniswap (v3)']"
736,space,"['PancakeSwap', 'PancakeSwap']"
737,CTX,"['HitBTC', 'FTX', 'HitBTC', 'FTX', 'Uniswap (v2)']"
738,ZERO,"['PancakeSwap', 'PancakeSwap', 'Uniswap (v2)']"
739,ALCX,"['Binance', 'FTX', 'Coinbase Exchange', 'Binance', 'FTX', 'Coinbase Exchange']"
740,DSD,"['Uniswap (v2)', 'Uniswap (v2)']"
741,AKRO,"['HitBTC', 'HitBTC', 'KuCoin']"
742,XMR,"['Huobi Global', 'OKEx', 'SouthXchange', 'HitBTC', 'Huobi Global', 'OKEx', 'SouthXchange', 'HitBTC', 'Bitlish', 'BitBay', 'OKEx', 'CoinEx', '', 'Binance', 'Bittrex', 'KuCoin', 'Ethfinex']"
743,WEC,"['Uniswap (v2)', 'Uniswap (v2)']"
744,OGN,"['Bittrex', 'Coinbase Exchange', 'Coinbase Exchange', 'Bittrex', 'Coinbase Exchange', 'Coinbase Exchange', 'Upbit', 'Balancer (v1)', 'HitBTC', 'ZB', 'Binance', 'KuCoin']"
745,IMT,"['PancakeSwap', 'PancakeSwap', 'Bitforex']"
746,MOMAT,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
747,INK,"['ZB', 'Bit-Z', 'ZB', 'Bit-Z', 'EXX', 'YoBit']"
748,LQTY,"['Coinbase Exchange', 'Coinbase Exchange', 'Balancer (v2)', 'Balancer (v2)']"
749,PPT,"['OKEx', 'OKEx']"
750,POND,"['ZB', 'ZB', 'Uniswap (v3)']"
751,IOST,"['Hotbit', 'Binance', 'Hotbit', 'Binance', 'EXX', 'Binance', 'Huobi Global']"
752,DOGES,"['Uniswap (v2)', 'Uniswap (v2)']"
753,EOSDAC,"['Bithumb', 'BigONE', 'Bithumb', 'BigONE', 'Hotbit']"
754,metaufo,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
755,BCC,"['Binance', 'Binance', 'Binance']"
756,STZ,"['Apeswap', 'Apeswap', 'Apeswap']"
757,LUNR,"['PancakeSwap', 'PancakeSwap']"
758,TRDL,"['Sushiswap', 'Uniswap (v3)', 'Sushiswap', 'Uniswap (v3)', 'Uniswap (v2)']"
759,ZINU,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
760,RAMP,"['Sushiswap', 'Sushiswap', 'PancakeSwap', 'HitBTC', 'Binance']"
761,PAR,"['Uniswap (v3)', 'Uniswap (v3)']"
762,CVC,"['Bittrex', 'Bittrex', 'Balancer (v2)', 'CoinEx', 'Bittrex', 'Bittrex', 'Balancer (v2)', 'CoinEx', 'Poloniex', 'Huobi Global', 'Balancer (v2)']"
763,METAPETS,"['PancakeSwap', 'PancakeSwap']"
764,QKC,"['KuCoin', 'KuCoin']"
765,TCR,"['Uniswap (v3)', 'Uniswap (v3)', 'Sushiswap']"
766,o,"['Uniswap (v3)', 'Uniswap (v3)']"
767,DHS,"['Uniswap (v2)', 'Uniswap (v2)']"
768,DEA,"['Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)']"
769,2OMB,"['SpookySwap', 'SpookySwap', 'SpookySwap']"
770,SON,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
771,HERA,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Apeswap', 'Apeswap']"
772,milky,"['PancakeSwap', 'PancakeSwap']"
773,SFUND,"['PancakeSwap', 'PancakeSwap', 'Apeswap']"
774,LATX,"['YoBit', 'YoBit', 'YoBit', 'Bitforex']"
775,DOGEFI,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
776,DLT,"['HitBTC', 'HitBTC', 'Binance']"
777,OCTANE,"['PancakeSwap', 'PancakeSwap']"
778,METAM,"['PancakeSwap', 'PancakeSwap']"
779,BRICK,"['PancakeSwap', 'PancakeSwap']"
780,MICROSHIB,"['PancakeSwap', 'PancakeSwap']"
781,tax,"['PancakeSwap', 'PancakeSwap']"
782,TEAM,"['Bit-Z', 'Bit-Z', 'Bit-Z']"
783,usdex,"['PancakeSwap', 'PancakeSwap']"
784,YFID,"['Uniswap (v2)', 'Uniswap (v2)']"
785,FLIXX,"['Bittrex', 'Bittrex']"
786,KSM,"['Bibox', 'Kraken', 'Bibox', 'Kraken', 'Bitfinex']"
787,C98,"['Coinbase Exchange', 'Coinbase Exchange', 'Sushiswap', 'Uniswap (v3)']"
788,PYRO,"['Uniswap (v2)', 'Uniswap (v2)']"
789,JIND,"['PancakeSwap', 'PancakeSwap']"
790,SAFEMOON,"['PancakeSwap', 'PancakeSwap']"
791,MOONS,"['Uniswap (v2)', 'Uniswap (v2)']"
792,ONG,"['Liquid', 'Liquid', 'Upbit']"
793,IDYP,"['Uniswap (v2)', 'Uniswap (v2)']"
794,punk,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
795,KTN,"['Uniswap (v2)', 'Uniswap (v2)']"
796,SMRAT,"['PancakeSwap', 'PancakeSwap']"
797,SMBSWAP,"['Uniswap (v2)', 'Uniswap (v2)']"
798,SOS,"['Sushiswap', 'Sushiswap', 'PancakeSwap']"
799,SAFEMARS,"['PancakeSwap', 'PancakeSwap']"
800,DFIAT,"['Trader Joe', 'Trader Joe']"
801,PERP,"['Binance', 'Binance', 'OKEx', 'Kraken', 'Binance']"
802,CHECOIN,"['PancakeSwap', 'PancakeSwap']"
803,GRO,"['Balancer (v2)', 'Balancer (v2)']"
804,BNK,"['HitBTC', 'HitBTC']"
805,CRE,"['Bit-Z', 'Bit-Z', 'BigONE']"
806,CMCX,"['PancakeSwap', 'PancakeSwap']"
807,AXUS,"['Uniswap (v2)', 'Uniswap (v2)']"
808,BSCM,"['PancakeSwap', 'PancakeSwap']"
809,FARM,"['Binance', 'Binance', 'Coinbase Exchange', 'HitBTC', 'Balancer (v1)']"
810,DOGEKING,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
811,CYCLUB,"['Uniswap (v2)', 'Uniswap (v2)']"
812,LWF,"['HitBTC', 'HitBTC', 'HitBTC']"
813,SYN,"['Trader Joe', 'Trader Joe', 'Trader Joe', 'Trader Joe', 'Trader Joe', 'Uniswap (v3)']"
814,H3X,"['Uniswap (v2)', 'Uniswap (v2)']"
815,KLAY,"['Korbit', 'KuCoin', 'Korbit', 'KuCoin']"
816,LST,"['EXX', 'EXX', 'EXX']"
817,XRA,"['Uniswap (v2)', 'Uniswap (v2)']"
818,GALEON,"['PancakeSwap', 'PancakeSwap']"
819,MUE,"['Bittrex', 'Bittrex']"
820,NEU,"['YoBit', 'YoBit', 'HitBTC', 'BitBay']"
821,STA,"['SpookySwap', 'SpookySwap', 'Uniswap (v2)']"
822,XLC,"['HitBTC', 'HitBTC', 'PancakeSwap']"
823,NCT,"['HitBTC', 'HitBTC']"
824,FEAR,"['Uniswap (v2)', 'PancakeSwap', 'Uniswap (v2)', 'PancakeSwap']"
825,SOV,"['Uniswap (v3)', 'Uniswap (v3)']"
826,UFR,"['Bitfinex', 'Bitfinex']"
827,XNS,"['Binance', 'Binance', 'HitBTC', 'EXX']"
828,POOL,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
829,CYFM,"['PancakeSwap', 'PancakeSwap']"
830,JEJUDOGE,"['Uniswap (v2)', 'Uniswap (v2)']"
831,SOLVE,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
832,PEX,"['PancakeSwap', 'PancakeSwap']"
833,VISIO,"['YoBit', 'YoBit']"
834,XDN,"['HitBTC', 'HitBTC']"
835,CWV,"['Bibox', 'Bibox']"
836,REALM,"['PancakeSwap', 'PancakeSwap']"
837,TWIN,"['PancakeSwap', 'PancakeSwap', 'Apeswap']"
838,SEA,"['Balancer (v2)', 'Balancer (v2)']"
839,EPAY,"['Uniswap (v2)', 'Uniswap (v2)']"
840,DML,"['Uniswap (v2)', 'Uniswap (v2)']"
841,FORM,"['Uniswap (v2)', 'Uniswap (v2)', 'PancakeSwap']"
842,bandex,"['Uniswap (v2)', 'Uniswap (v2)', 'PancakeSwap']"
843,HE,"['PancakeSwap', 'PancakeSwap']"
844,SOL,"['Binance', 'KuCoin', 'Kraken', 'Bithumb', 'Binance', 'KuCoin', 'Kraken', 'Bithumb', 'CoinEx', 'CoinEx', 'Kraken', 'HitBTC', 'Binance', 'Poloniex']"
845,FACE,"['HitBTC', 'HitBTC']"
846,WST,"['PancakeSwap', 'PancakeSwap']"
847,CATS,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
848,HIRE,"['HitBTC', 'HitBTC']"
849,sani,"['Uniswap (v2)', 'Uniswap (v2)']"
850,SIG,"['Bittrex', 'Bittrex']"
851,BLVR,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
852,BU,"['Bibox', 'Bibox', 'Bitforex']"
853,ZWZ,"['PancakeSwap', 'PancakeSwap']"
854,SPICE,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
855,bxtb,"['Uniswap (v2)', 'Uniswap (v2)']"
856,BTM,"['CoinEx', 'CoinEx', 'YoBit', 'Huobi Global', 'Upbit', 'Huobi Global']"
857,CRO,"['Huobi Global', 'BigONE', 'Huobi Global', 'BigONE', 'Bittrex', 'HitBTC', 'Coinbase Exchange']"
858,ZUSD,"['Uniswap (v2)', 'Uniswap (v2)', 'PancakeSwap']"
859,RCN,"['HitBTC', 'ZB', 'HitBTC', 'HitBTC', 'ZB', 'HitBTC', 'EXX']"
860,TRIG,"['Binance', 'Binance', 'Binance']"
861,BBN,"['Ethfinex', 'Ethfinex']"
862,UTK,"['Bitfinex', 'OKEx', 'Bitfinex', 'OKEx', 'Huobi Global', 'Binance', 'Bittrex', 'EXX']"
863,goma,"['PancakeSwap', 'PancakeSwap']"
864,HIT,"['Huobi Global', 'Huobi Global']"
865,NEVADA,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
866,ELA,"['Bit-Z', 'Bit-Z', 'Huobi Global', 'Coinbase Exchange']"
867,hero,"['Uniswap (v2)', 'Uniswap (v2)']"
868,FRAX,"['Curve', 'Curve', 'Uniswap (v3)', 'Uniswap (v2)', 'Curve', 'Apeswap']"
869,VET,"['Upbit', 'Upbit', 'Huobi Global', 'KuCoin', 'CoinEx']"
870,XFIT,"['Uniswap (v2)', 'Uniswap (v2)']"
871,SFO,"['PancakeSwap', 'PancakeSwap']"
872,FTM,"['Bibox', 'Uniswap (v2)', 'Bibox', 'Uniswap (v2)', 'Bibox', 'Balancer (v2)', 'Binance', 'Hotbit', 'Bitstamp']"
873,JCHF,"['Uniswap (v3)', 'Uniswap (v3)']"
874,MSN,"['PancakeSwap', 'PancakeSwap']"
875,EMC,"['CoinEx', 'HitBTC', 'CoinEx', 'HitBTC', 'CoinEx']"
876,GODS,"['Uniswap (v3)', 'OKEx', 'Uniswap (v3)', 'OKEx', 'Huobi Global']"
877,XBT,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
878,DRACE,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
879,UAD,"['Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v3)']"
880,exmoc,"['Apeswap', 'Apeswap', 'PancakeSwap']"
881,tifi,"['PancakeSwap', 'PancakeSwap']"
882,KARMA,"['YoBit', 'YoBit']"
883,ENRG,"['Bitibu', 'Bitibu']"
884,MARK,"['Uniswap (v3)', 'Uniswap (v3)', 'Sushiswap', 'Balancer (v1)', 'Uniswap (v2)']"
885,BHC,"['PancakeSwap', 'PancakeSwap', 'Apeswap']"
886,PACT,"['Uniswap (v2)', 'Uniswap (v2)', 'Ubeswap', 'Uniswap (v2)']"
887,ionz,"['PancakeSwap', 'PancakeSwap']"
888,ARW,"['Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v3)']"
889,TETU,"['Sushiswap', 'Sushiswap']"
890,dentro,"['PancakeSwap', 'PancakeSwap']"
891,DXT,"['Bitforex', 'Bitforex']"
892,WEAVE,"['PancakeSwap', 'PancakeSwap']"
893,GNX,"['EXX', 'EXX', 'Bibox', 'HitBTC']"
894,RRC,"['Bit-Z', 'Bit-Z']"
895,ICHI,"['Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v3)']"
896,mnz,"['PancakeSwap', 'PancakeSwap']"
897,DFI,"['Bittrex', 'PancakeSwap', 'Bittrex', 'PancakeSwap', 'Bittrex', 'Uniswap (v2)', 'Bittrex']"
898,TITI,"['PancakeSwap', 'PancakeSwap']"
899,TOWER,"['Sushiswap', 'Sushiswap', 'Uniswap (v2)']"
900,DRC,"['Uniswap (v2)', 'Uniswap (v2)', 'Sushiswap']"
901,STRP,"['Uniswap (v3)', 'Uniswap (v3)']"
902,RDN,"['Bibox', 'Bibox', 'EXX', 'Huobi Global']"
903,YAG,"['Apeswap', 'Apeswap', 'PancakeSwap']"
904,AIN,"['Uniswap (v3)', 'Uniswap (v3)']"
905,DRK,"['Uniswap (v2)', 'Uniswap (v2)']"
906,HER,"['Bibox', 'Bibox', 'PancakeSwap']"
907,LOC,"['Gatecoin', 'HitBTC', 'Gatecoin', 'HitBTC', 'Uniswap (v2)']"
908,NPXS,"['Bittrex', 'Upbit', 'Bittrex', 'Upbit', 'Sushiswap', 'Binance', 'Uniswap (v2)', 'CoinEx', 'Huobi Global']"
909,TYC,"['Bittrex', 'Bittrex', 'Bittrex']"
910,ECT,"['PancakeSwap', 'PancakeSwap']"
911,SKRT,"['Uniswap (v3)', 'Uniswap (v3)']"
912,GVE,"['Huobi Global', 'Huobi Global']"
913,SLF,"['PancakeSwap', 'PancakeSwap']"
914,SPG,"['PancakeSwap', 'PancakeSwap']"
915,COVAL,"['Uniswap (v2)', 'Uniswap (v2)', 'Coinbase Exchange']"
916,DOSE,"['Uniswap (v2)', 'Apeswap', 'Uniswap (v2)', 'Apeswap']"
917,USD,"['Currency.com', '', 'Currency.com', '', 'YoBit', 'Uniswap (v2)', 'Bittrex', 'Currency.com']"
918,MUNCH,"['Uniswap (v2)', 'Uniswap (v2)']"
919,CATT,"['Uniswap (v2)', 'Uniswap (v2)']"
920,FET,"['KuCoin', 'Bitstamp', 'KuCoin', 'Bitstamp', 'BtcTurk PRO', 'Bittrex', 'Uniswap (v2)']"
921,rev3l,"['PancakeSwap', 'PancakeSwap']"
922,DOGEBNB,"['PancakeSwap', 'PancakeSwap']"
923,agfi,"['Uniswap (v2)', 'Uniswap (v2)']"
924,PMON,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Uniswap (v3)']"
925,GNO,"['Sushiswap', 'Binance', 'Sushiswap', 'Binance', 'Poloniex', 'Bitfinex', 'Kraken', 'Upbit', 'Coinbase Exchange']"
926,RULER,"['Sushiswap', 'Sushiswap', 'Uniswap (v3)']"
927,BAO,"['Sushiswap', 'Uniswap (v2)', 'Sushiswap', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
928,TBTC,"['Coinbase Exchange', 'Coinbase Exchange', 'PancakeSwap']"
929,DFA,"['Uniswap (v3)', 'Uniswap (v3)']"
930,inmes,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
931,NKC,"['Bit-Z', 'Bit-Z']"
932,$SSHIBA,"['PancakeSwap', 'PancakeSwap']"
933,ZPR,"['Liquid', 'Liquid']"
934,BNBEER,"['PancakeSwap', 'PancakeSwap']"
935,SST,"['Uniswap (v2)', 'Uniswap (v2)']"
936,THKD,"['Balancer (v1)', 'Balancer (v1)']"
937,WOOL,"['Sushiswap', 'Uniswap (v2)', 'Sushiswap', 'Uniswap (v2)']"
938,RAIN,"['PancakeSwap', 'PancakeSwap', 'Uniswap (v2)']"
939,HUP,"['PancakeSwap', 'PancakeSwap']"
940,XDATA,"['Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v2)', 'Sushiswap', 'Balancer (v1)']"
941,$MAINST,"['Apeswap', 'Apeswap']"
942,CBK,"['Uniswap (v3)', 'Uniswap (v3)']"
943,HKSM,"['PancakeSwap', 'PancakeSwap']"
944,ABC123,"['Sushiswap', 'Sushiswap']"
945,VDX,"['Bittrex', 'Uniswap (v2)', 'Bittrex', 'Uniswap (v2)', 'Bittrex']"
946,CZF,"['PancakeSwap', 'PancakeSwap']"
947,rants,"['PancakeSwap', 'PancakeSwap']"
948,CAT,"['Uniswap (v3)', 'Uniswap (v3)', 'HitBTC', 'HitBTC']"
949,SHIBAL,"['Uniswap (v2)', 'Uniswap (v2)']"
950,$tmon,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
951,FWB,"['Uniswap (v2)', 'Uniswap (v2)']"
952,GEG,"['PancakeSwap', 'Apeswap', 'PancakeSwap', 'Apeswap']"
953,RVN,"['Binance', 'Binance', 'Bittrex', 'Binance', 'Bitforex', 'Bittrex', 'Binance', 'Bittrex']"
954,MBIT,"['YoBit', 'YoBit']"
955,DND,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
956,PEAK,"['Sushiswap', 'Sushiswap']"
957,BOXER,"['PancakeSwap', 'PancakeSwap']"
958,VOW,"['Sushiswap', 'Sushiswap']"
959,EMRX,"['HitBTC', 'HitBTC']"
960,SCRT,"['Bittrex', 'Bittrex', 'Binance']"
961,GFX,"['Uniswap (v2)', 'Uniswap (v2)']"
962,PDOG,"['Uniswap (v2)', 'Uniswap (v2)']"
963,AST,"['Balancer (v2)', 'Balancer (v2)', 'OKEx', 'Uniswap (v2)']"
964,qlt,"['Uniswap (v3)', 'Uniswap (v3)']"
965,DOMI,"['PancakeSwap', 'PancakeSwap']"
966,NFTB,"['PancakeSwap', 'PancakeSwap']"
967,defly,"['PancakeSwap', 'PancakeSwap']"
968,DKNY,"['PancakeSwap', 'PancakeSwap']"
969,EASY,"['Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v2)']"
970,XVG,"['Binance', 'Binance', 'Binance', 'Bittrex', 'Binance']"
971,DGX,"['Bitfinex', 'Bitfinex']"
972,PRESIDENTDOGE,"['PancakeSwap', 'PancakeSwap']"
973,STEEM,"['Upbit', 'Bittrex', 'Upbit', 'Bittrex', 'Binance', 'Poloniex']"
974,dna,"['PancakeSwap', 'PancakeSwap']"
975,UST,"['Curve', 'PancakeSwap', 'Curve', 'PancakeSwap', 'PancakeSwap', 'YoBit', 'Bittrex']"
976,SOLACE,"['Sushiswap', 'Sushiswap']"
977,TRYB,"['Balancer (v1)', 'Balancer (v1)']"
978,DPI,"['Uniswap (v3)', 'Uniswap (v3)', 'Sushiswap', 'Uniswap (v2)', 'Sushiswap']"
979,START,"['Bittrex', 'Bittrex', 'Uniswap (v2)']"
980,AGENTSHIBAINU,"['PancakeSwap', 'PancakeSwap']"
981,ANKR,"['Bittrex', 'Uniswap (v2)', 'Bittrex', 'Uniswap (v2)', 'Hotbit', 'Huobi Global', 'Huobi Global', 'Bitforex', 'KuCoin']"
982,NIFTSY,"['Uniswap (v3)', 'Uniswap (v3)']"
983,BFI,"['Uniswap (v2)', 'Uniswap (v2)']"
984,oland,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
985,MILK,"['PancakeSwap', 'PancakeSwap']"
986,yuse,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
987,GMEE,"['PancakeSwap', 'PancakeSwap']"
988,SPE,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
989,XRT,"['Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v3)']"
990,OUD,"['PancakeSwap', 'PancakeSwap']"
991,CEL,"['Bittrex', 'Bittrex', 'Sushiswap', 'OKEx', 'Bitstamp']"
992,autumn,"['Uniswap (v3)', 'Uniswap (v3)']"
993,LMT,"['Sushiswap', 'Sushiswap']"
994,TOMATO,"['Uniswap (v2)', 'Uniswap (v2)']"
995,VNL,"['Uniswap (v3)', 'Uniswap (v3)']"
996,DALI,"['PancakeSwap', 'PancakeSwap']"
997,HBTC,"['Uniswap (v3)', 'Uniswap (v3)']"
998,CROOGE,"['Uniswap (v2)', 'Uniswap (v2)']"
999,USDCSO,"['Uniswap (v3)', 'Uniswap (v3)']"
1000,HAM,"['PancakeSwap', 'PancakeSwap']"
1001,METASHIB,"['PancakeSwap', 'PancakeSwap']"
1002,CBC,"['KuCoin', 'KuCoin']"
1003,OGO,"['Hotbit', 'Hotbit']"
1004,MMP,"['PancakeSwap', 'PancakeSwap']"
1005,cmsn,"['Uniswap (v2)', 'Uniswap (v2)']"
1006,DICE,"['Hotbit', 'Hotbit', 'Uniswap (v2)']"
1007,BURGER,"['Binance', 'Binance', 'Binance']"
1008,SUTER,"['Bittrex', 'Bittrex']"
1009,CELR,"['Balancer (v1)', 'Balancer (v1)']"
1010,PHA,"['Huobi Global', 'Huobi Global', 'Huobi Global', 'KuCoin', 'Kraken', 'OKEx', 'Kraken', 'Binance']"
1011,DEXTF,"['Trader Joe', 'Trader Joe', 'Uniswap (v3)']"
1012,CFUN,"['EXX', 'EXX']"
1013,CTRIBE,"['PancakeSwap', 'PancakeSwap']"
1014,TRAC,"['Bittrex', 'Bittrex', 'Gatecoin', 'Coinbase Exchange']"
1015,BART,"['Uniswap (v2)', 'Uniswap (v2)']"
1016,TIME,"['HitBTC', 'HitBTC', 'PancakeSwap', 'Uniswap (v2)']"
1017,SRK,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'CoinEx']"
